,0,1,2,3,4,5,6
0,2295306815,2295306813,0,2.3929386565225465e-05,5.555556,23.19331,53.13268
1,6333326951,442712725,0,0.0004841548202820126,10.555556,23.08016,53.11183
2,6333326951,442712725,0,0.00010629153306007205,10.555556,23.07999,53.11217
3,6333326951,442712725,0,5.36646065855965e-05,10.555556,23.07997,53.11222
4,6333326951,442712725,0,1.9379014053337502e-05,10.555556,23.07998,53.11226
5,6333326951,442712725,0,1.8727758851288995e-05,10.555556,23.08001,53.11233
6,6333326951,442712725,0,2.2034803492778008e-05,10.555556,23.08009,53.11238
7,442712725,6333326951,0,2.0408975124705394e-05,10.555556,23.08021,53.11243
8,442712725,6333326951,0,1.2590275962534662e-05,10.555556,23.08039,53.11251
9,6333326951,442712725,0,6.158347175459656e-06,10.555556,23.08044,53.11254
10,6333326951,442712725,0,1.0085342299814356e-06,10.555556,23.08049,53.11258
11,442712725,6333326951,0,1.8524115457271004e-06,10.555556,23.08057,53.11266
12,442712725,442641495,0,6.327939707478531e-06,10.555556,23.08139,53.11356
13,442712713,442641495,0,1.280345674887363e-05,10.555556,23.08188,53.11414
14,442584075,442641495,0,3.236483269703514e-06,10.555556,23.08241,53.11469
15,442641495,442584075,0,1.2227643172888722e-05,10.555556,23.08272,53.11502
16,442641503,442584075,0,5.380530391892834e-06,10.555556,23.0828,53.11515
17,454532163,442584075,0,4.608306659054432e-06,10.555556,23.08327,53.11561
18,442584075,454532163,0,1.1468537622204066e-06,10.555556,23.08349,53.11577
19,1847044957,1832991672,0,7.367255655164693e-06,18.61111,23.14679,53.15965
20,1832991672,1847317049,0,8.957704368559563e-06,18.61111,23.14572,53.15962
21,1847317049,2648515276,0,1.1323781939102841e-05,18.61111,23.14467,53.1596
22,1847317049,1847317037,0,8.068968135309831e-06,18.61111,23.14435,53.15959
23,1847317049,1847317037,0,8.930261836588196e-06,18.61111,23.1433,53.15957
24,1847317049,1847317037,0,7.473815341146184e-06,18.61111,23.14287,53.15956
25,1847317049,1847317037,0,9.328078036002027e-06,18.61111,23.14167,53.15954
26,1847317049,1847317037,0,6.208946894172157e-07,18.61111,23.14102,53.15952
27,1847317049,1847317037,0,1.2084383544900314e-05,18.61111,23.14036,53.15952
28,1847317049,1847317037,0,9.95099153134784e-06,18.61111,23.13787,53.15948
29,833297648,833297884,0,1.5912062224045547e-05,10.555556,23.20956,53.12251
30,833297884,1897908756,0,1.8446014819546895e-05,10.555556,23.20928,53.12249
31,833297884,1897908756,0,2.1059539945354317e-05,10.555556,23.20917,53.12248
32,833297884,1897908756,0,1.0848634912009085e-05,10.555556,23.20768,53.12239
33,833297884,1897908756,0,1.0851147701751642e-05,10.555556,23.20737,53.12236
34,833297884,1897908756,0,4.280640213071063e-06,10.555556,23.2072,53.12235
35,1897908756,1897908770,0,2.6127072501822157e-06,10.555556,23.20709,53.12234
36,833297665,1897908756,0,1.9785844289910436e-06,10.555556,23.20682,53.12232
37,1897908756,833297665,0,4.228918414247413e-06,10.555556,23.20591,53.12226
38,833297665,1897908756,0,2.9650850488667385e-06,10.555556,23.20579,53.12225
39,833297665,1897908756,0,4.79231401533061e-06,10.555556,23.20549,53.12223
40,1842525748,833297665,0,3.3513397092790876e-06,10.555556,23.20525,53.12221
41,1842525748,833297665,0,4.337973439321537e-06,10.555556,23.20511,53.1222
42,1842525748,833297665,0,6.107176176401204e-06,10.555556,23.20496,53.12219
43,1842525748,1841238575,0,2.2344768449142526e-05,10.555556,23.20388,53.12211
44,1842525748,1841238575,0,7.866793802398719e-06,10.555556,23.20375,53.12212
45,1842525748,1841238575,0,7.443868387907773e-06,10.555556,23.20354,53.12213
46,1842525748,1841238575,0,2.3107764113374275e-06,10.555556,23.20346,53.12214
47,1842525748,1841238575,0,1.8343896264042028e-05,10.555556,23.20336,53.12219
48,1841238575,260019609,0,3.454466565579314e-05,10.555556,23.20334,53.12224
49,260019609,4761477644,0,1.4098446018448482e-05,10.555556,23.20332,53.12227
50,260019609,4761477644,0,1.6248585975646228e-06,10.555556,23.20331,53.12229
51,260019609,1842410764,0,1.822885453749751e-05,10.555556,23.20326,53.12233
52,260019609,1842410764,0,7.585663275171969e-06,10.555556,23.20318,53.12237
53,4760148288,1842410764,0,3.520167011587766e-06,10.555556,23.2031,53.1224
54,1842410764,1836376628,0,2.128343245856765e-06,10.555556,23.20301,53.1224
55,1842410764,1836376628,0,4.196163938248657e-06,10.555556,23.20292,53.12239
